iter	Logloss
0	0.6703474833
1	0.6501869558
2	0.6318355052
3	0.6147242279
4	0.59954894
5	0.5848879547
6	0.571306488
7	0.5597615865
8	0.5489662069
9	0.5387725423
10	0.5300364024
11	0.521448115
12	0.5136122386
13	0.5074090169
14	0.5009976654
15	0.4952601674
16	0.4899507904
17	0.4850340474
18	0.4804717865
19	0.4763282267
20	0.4723967387
21	0.4692271271
22	0.4662126261
23	0.4632591909
24	0.4606939341
25	0.4584552714
26	0.4563347931
27	0.454465566
28	0.4524853872
29	0.4510491994
30	0.4493518372
31	0.4479069417
32	0.4464042918
33	0.4451062164
34	0.4437014008
35	0.442577596
36	0.4414897359
37	0.4405537008
38	0.4396805471
39	0.4389429169
40	0.4383020223
41	0.4374838053
42	0.4366808319
43	0.4359806417
44	0.4353844503
45	0.4348596446
46	0.4342814687
47	0.4337710063
48	0.4333565216
49	0.4328310394
50	0.4323690389
51	0.4319848684
52	0.431522171
53	0.4311679331
54	0.4307649078
55	0.430313151
56	0.4299977671
57	0.4296424561
58	0.4293456879
59	0.4290009664
60	0.4287239939
61	0.4284489695
62	0.4281681722
63	0.4278693237
64	0.4275454508
65	0.4272865194
66	0.4270559285
67	0.4268981934
68	0.4266667023
69	0.4264500936
70	0.4262109578
71	0.4259479218
72	0.4257993215
73	0.4256233775
74	0.425483312
75	0.4253085276
76	0.4251046346
77	0.424976766
78	0.4248101501
79	0.4246629842
80	0.424495458
81	0.4243244578
82	0.4241475474
83	0.4240463104
84	0.4238588206
85	0.4236761576
86	0.4235512644
87	0.4233904266
88	0.4233629405
89	0.4232476196
90	0.4231121419
91	0.4229807332
92	0.4228103282
93	0.4227359161
94	0.4225992279
95	0.4224387868
96	0.4223695933
97	0.4222068736
98	0.4221060333
99	0.4220083822
100	0.4218845367
101	0.4217731883
102	0.4217120107
103	0.4215924937
104	0.4214971822
105	0.4213571777
106	0.4212190094
107	0.4210447489
108	0.4208982798
109	0.4208298848
110	0.4206899719
111	0.4205520477
112	0.4204201508
113	0.4203302714
114	0.4202324982
115	0.4201452637
116	0.4201029612
117	0.4199854838
118	0.4198949331
119	0.4197899068
120	0.4196764476
121	0.4195740407
122	0.4195444082
123	0.419501653
124	0.4194270782
125	0.4193437805
126	0.4192724406
127	0.4192287547
128	0.4191091614
129	0.4190264638
130	0.4189596202
131	0.4188864136
132	0.4187678223
133	0.4185967967
134	0.4185210012
135	0.4184385783
136	0.4183230286
137	0.4182122396
138	0.418111145
139	0.4180429535
140	0.4179234873
141	0.4177962901
142	0.4177178701
143	0.4176130168
144	0.4175360057
145	0.4174425354
146	0.4173502858
147	0.4173019816
148	0.41722435
149	0.4171561534
150	0.4170786947
151	0.4169709524
152	0.4169133301
153	0.416826238
154	0.4167472026
155	0.4166038666
156	0.4165164439
157	0.4164360301
158	0.4163130747
159	0.4162160288
160	0.4161633148
161	0.4161291606
162	0.4160455627
163	0.4159935913
164	0.4158963776
165	0.4158104451
166	0.415753774
167	0.4156983592
168	0.4156167755
169	0.415550176
170	0.4154549866
171	0.415357193
172	0.4153071696
173	0.4152276255
174	0.4151254171
175	0.4150711721
176	0.415019516
177	0.4149367828
178	0.4149008687
179	0.414835612
180	0.4147673035
181	0.414695933
182	0.414660436
183	0.4146005096
184	0.4144771729
185	0.4144189453
186	0.4143626404
187	0.4142521922
188	0.4142151337
189	0.4141765035
190	0.4141021474
191	0.4140436147
192	0.4139766744
193	0.4139284363
194	0.4139076894
195	0.4138210602
196	0.4137760213
197	0.4136489919
198	0.4135995026
199	0.4135508931
200	0.4134854991
201	0.4133764699
202	0.413323878
203	0.4132518667
204	0.4131951396
205	0.4131165059
206	0.4130599467
207	0.4129763133
208	0.4129017792
209	0.4128205414
210	0.4127576345
211	0.4127154083
212	0.4126516418
213	0.4125722148
214	0.4125022685
215	0.4124732208
216	0.4123811493
217	0.4123198446
218	0.4122260742
219	0.4121902364
220	0.4121657766
221	0.4121116994
222	0.4120585937
223	0.4120221405
224	0.4119210459
225	0.4118901113
226	0.411820226
227	0.4117568054
228	0.4117253215
229	0.4116608073
230	0.4115911051
231	0.4114980672
232	0.411436854
233	0.4113695221
234	0.4113000844
235	0.4112234039
236	0.4110910441
237	0.4110049388
238	0.4109207865
239	0.4108687134
240	0.4108139801
241	0.4106894379
242	0.4106391246
